Film,Rating,Year
Alamar,3.0,2010
Animal Kingdom,3.5,2010
Babies,3.0,2010
Barry Munday,3.5,2010
Creation,3.0,2010
Date Night,3.25,2010
Defendor,2.75,2010
Edge Of Darkness,3.0,2010
From Paris With Love,2.75,2010
Green Zone,4.0,2010
Greenberg,3.0,2010
Harry Brown,2.75,2010
Harry Potter & The Deathly Hallows Pt 1,2.5,2010
Hugh Hefner: Playboy Activist and Rebel,2.75,2010
I Am Love,3.5,2010
Inception,4.0,2010
IronMan 2,2.75,2010
Knight And Day,3.25,2010
Let Me In,3.0,2010
Mesrine: Killer Instinct,3.5,2010
Mesrine: Public Enemy No 1,3.0,2010
Morning Glory,3.25,2010
My Name Is Khan,2.75,2010
Ondine,3.5,2010
Please Give,3.0,2010
Red Riding Trilogy 1974,3.5,2010
Red Riding Trilogy 1980,3.5,2010
Red Riding Trilogy 1983,3.25,2010
Salt,2.5,2010
Scott Pilgrim Vs. The World,3.75,2010
Solitary Man,3.5,2010
The American,3.0,2010
The Book Of Eli,3.0,2010
The Extra Man,2.75,2010
The Ghostwriter,3.75,2010
The Girl On The Train,3.5,2010
The Girl Who Kicked The Hornet's Nest,2.75,2010
The Girl Who Played With Fire,3.0,2010
The Girl With The Dragon Tattoo,3.0,2010
The Kids Are All Right,3.5,2010
The Killer Inside Me,3.25,2010
The Next 3 Days,2.75,2010
The Runaways,3.5,2010
The Social Network,3.75,2010
The Tourist,2.0,2010
The Town,3.25,2010
Unstoppable,3.75,2010
Unthinkable,3.25,2010
Welcome,3.5,2010
Winters Bone,4.0,2010
You Will Meet A Tall Dark Stranger,3.0,2010
500 Days Of Summer,3.5,2009
A Prophet,4.0,2009
Adam,3.25,2009
Adoration,3.5,2009
Afghan Star,3.25,2009
Amelia,2.25,2009
An Education,4.0,2009
Anvil The Story Of Anvil,3.0,2009
Away We Go,3.25,2009
Bad Lieutenant: Port Of Call New Orleans,3.0,2009
Broken Embraces,3.5,2009
Cheri,3.25,2009
Coco Before Chanel,3.0,2009
Crazy Heart,3.5,2009
Departures,4.0,2009
Duplicity,3.5,2009
Eldorado,2.75,2009
Everlasting Moments,3.75,2009
Every Little Step,3.0,2009
Everybody's Fine,2.25,2009
Flam And Citron,3.25,2009
"Food, Inc",3.25,2009
For My Father,3.25,2009
Gomorrah,3.5,2009
Goodbye Solo,4.0,2009
Harry Potter and The Half Blood Prince,3.25,2009
In The Loop,3.75,2009
Inglorious Basterds,4.0,2009
Invictus,3.5,2009
Islander,3.0,2009
It Might Get Loud,3.0,2009
Julia,3.75,2009
Julie & Julia,2.75,2009
Knowing,2.75,2009
Lake Tahoe,2.0,2009
Me And Orson Welles,3.75,2009
Men Who Stare At Goats,2.75,2009
Mine,3.0,2009
Moon,3.25,2009
Munyurangabo,3.0,2009
"New York, I Love You",2.75,2009
Nine,2.0,2009
Nobel Son,2.5,2009
Nothing But The Truth,2.25,2009
Paul Blart: Mall Cop,1.0,2009
Pirate Radio,3.0,2009
Public Enemies,3.25,2009
Rudo y Cursi,3.0,2009
Sin Nombre,4.0,2009
Sita Sings The  Blues,3.75,2009
Somers Town,3.0,2009
Soul Power,2.5,2009
Special,2.5,2009
Star Trek,3.0,2009
State Of Play,3.5,2009
Sugar,3.5,2009
Summer Hours,3.0,2009
Sunshine Cleaning,3.0,2009
Taken,3.0,2009
Taking Woodstock,4.0,2009
The Blind Side,3.25,2009
The Brothers Bloom,3.25,2009
The Damn United,3.5,2009
The Drummer,3.0,2009
The Great Buck Howard,3.0,2009
The Hurt Locker,4.0,2009
